City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
114,morehead city,34.7229,-76.726,92.03,82,20,8.05,US,1694101693
115,salaga,8.5508,-0.5188,85.46,68,86,2.55,GH,1694101694
116,tobelo,1.7284,128.0095,78.78,82,86,4.52,ID,1694101457
117,lompoc,34.6391,-120.4579,70.79,85,20,5.75,US,1694101439
118,mbanza kongo,-6.267,14.2401,86.77,42,83,4.54,AO,1694101694
119,blackwater,-23.5833,148.8833,66.69,100,12,8.05,AU,1694101695
120,mount gambier,-37.8333,140.7667,44.04,97,76,23.58,AU,1694101454
121,ancud,-41.8697,-73.8203,49.89,83,35,9.17,CL,1694101424
122,smithers,54.7804,-127.1743,46.72,87,75,0.0,CA,1694101297
123,utrik,11.2278,169.8474,82.63,77,74,6.4,MH,1694101493
124,kingston,17.997,-76.7936,90.25,71,20,8.05,JM,1694101520
125,prince george,53.9166,-122.753,50.25,91,100,9.22,CA,1694101359
126,albany,42.6001,-73.9662,88.66,68,0,4.74,US,1694101337
127,margate,51.3813,1.3862,81.3,72,1,5.01,GB,1694101696
128,vadso,70.0744,29.7487,54.48,82,75,8.05,NO,1694101451
129,eydhafushi,5.1033,73.0708,82.51,75,100,10.42,MV,1694101637
130,aasiaat,68.7098,-52.8699,36.81,94,100,13.65,GL,1694101416
131,alice springs,-23.7,133.8833,56.75,53,0,57.0,AU,1694101452
132,papatowai,-46.5619,169.4708,46.11,81,90,5.75,NZ,1694101373
133,guane,22.2025,-84.0875,90.7,54,2,3.58,CU,1694101698
134,shentala,54.45,51.4833,52.23,64,74,6.44,RU,1694101698
135,georgetown,5.4112,100.3354,83.01,86,20,3.44,MY,1694101353
136,malango,-2.9627,119.9001,64.62,98,34,1.81,ID,1694101393
137,shalqar,47.8333,59.6,64.98,63,40,5.44,KZ,1694101699
138,kill devil hills,36.0307,-75.676,89.6,64,0,3.44,US,1694101699
139,mahina,-17.5065,-149.489,74.97,88,75,9.22,PF,1694101699
140,port moresby,-9.4431,147.1797,74.62,100,20,3.44,PG,1694101653
141,tralee,52.2704,-9.7026,80.85,57,0,6.91,IE,1694101425
142,uturoa,-16.7333,-151.4333,77.58,81,3,7.4,PF,1694101399
143,chom thong,18.4174,98.6743,79.09,95,100,4.16,TH,1694101700
144,floro,61.5996,5.0328,66.27,88,75,11.5,NO,1694101701
145,rye,40.9807,-73.6837,95.58,60,0,4.0,US,1694101701
146,ulladulla,-35.35,150.4667,60.76,68,100,14.94,AU,1694101483
147,ulaangom,49.9811,92.0667,55.53,50,49,6.2,MN,1694101702
148,wailua homesteads,22.0669,-159.378,72.39,85,75,5.75,US,1694101372
149,nishinoomote,30.7333,131.0,81.36,66,0,4.72,JP,1694101702
150,nanpiao,41.0982,120.7479,69.84,96,63,5.48,CN,1694101703
151,coquimbo,-29.9533,-71.3436,62.33,72,0,10.36,CL,1694101478
152,knyaze-volkonskoye,48.4642,135.4567,59.34,75,97,9.8,RU,1694101703
153,solola,14.7667,-91.1833,70.57,57,6,2.35,GT,1694101703
154,alta,69.9689,23.2717,56.46,72,0,0.0,NO,1694101570
155,zhangjiajie,29.1294,110.4783,74.7,90,0,1.92,CN,1694101704
156,at taj,24.2049,23.2857,99.43,15,0,11.79,LY,1694101704
157,abdurahmoni jomi,37.9464,68.8088,73.69,38,0,4.47,TJ,1694101705
158,annau,37.8876,58.516,89.1,35,2,6.91,TM,1694101705
159,nay pyi taw,19.745,96.1297,75.31,95,99,4.72,MM,1694101410
160,howard springs,-12.497,131.047,76.82,88,16,1.97,AU,1694101484
161,olonkinbyen,70.9221,-8.7187,43.29,100,100,5.19,SJ,1694101368
162,daru,-9.0763,143.2092,78.78,90,52,13.49,PG,1694101408
163,pyt-yakh,60.7499,72.8582,52.66,67,7,3.11,RU,1694101706
164,pandan,14.0453,124.1694,79.95,79,5,5.91,PH,1694101486
165,arkhangel'sk,64.5401,40.5433,48.9,78,15,8.03,RU,1694101707
166,avarua,-21.2078,-159.775,73.45,73,40,10.36,CK,1694101368
167,yuzhno-kurilsk,44.0306,145.8556,57.45,77,14,10.33,RU,1694101707
168,mejit,10.2753,170.8646,82.71,76,83,5.57,MH,1694101367
169,morondava,-20.2833,44.2833,74.89,73,0,17.72,MG,1694101708
170,el paujil,1.5701,-75.3286,88.45,48,49,3.76,CO,1694101708
171,udachny,66.4167,112.4,34.45,92,100,9.98,RU,1694101372
172,caleta de carquin,-11.0925,-77.6267,69.48,73,49,11.23,PE,1694101709
173,tofol,5.3248,163.0078,84.49,72,17,10.74,FM,1694101710
174,shitanjing,39.2342,106.3439,59.31,61,90,4.7,CN,1694101710
175,flying fish cove,-10.4217,105.6791,74.88,78,100,9.22,CX,1694101449
